,month,Source,Browser,angebot_click,vorteile_click,click,page_view,conversion_rate,angebot_cr,vorteile_cr
0,2023-07-01,Direct,Chrome,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
1,2023-07-01,Direct,Edge,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
2,2023-07-01,Direct,Firefox,3,0,3,8,0.375,0.375,0.0
3,2023-07-01,Direct,Safari,5,0,5,10,0.5,0.5,0.0
4,2023-07-01,Google,Chrome,5,0,5,11,0.45454545454545453,0.45454545454545453,0.0
5,2023-07-01,Google,Edge,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
6,2023-07-01,Google,Firefox,3,0,3,7,0.42857142857142855,0.42857142857142855,0.0
7,2023-07-01,Google,Safari,6,0,6,11,0.5454545454545454,0.5454545454545454,0.0
8,2023-07-01,Referral,Chrome,7,0,7,10,0.7,0.7,0.0
9,2023-07-01,Referral,Edge,5,0,5,10,0.5,0.5,0.0
10,2023-07-01,Referral,Firefox,6,0,6,8,0.75,0.75,0.0
11,2023-07-01,Referral,Safari,8,0,8,13,0.6153846153846154,0.6153846153846154,0.0
12,2023-07-01,Social Media,Chrome,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
13,2023-07-01,Social Media,Edge,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
14,2023-07-01,Social Media,Firefox,4,0,4,7,0.5714285714285714,0.5714285714285714,0.0
15,2023-07-01,Social Media,Safari,7,0,7,12,0.5833333333333334,0.5833333333333334,0.0
16,2023-08-01,Direct,Chrome,10,0,10,16,0.625,0.625,0.0
17,2023-08-01,Direct,Edge,13,0,13,17,0.7647058823529411,0.7647058823529411,0.0
18,2023-08-01,Direct,Firefox,5,0,5,10,0.5,0.5,0.0
19,2023-08-01,Direct,Safari,6,0,6,14,0.42857142857142855,0.42857142857142855,0.0
20,2023-08-01,Google,Chrome,3,0,3,7,0.42857142857142855,0.42857142857142855,0.0
21,2023-08-01,Google,Edge,7,0,7,12,0.5833333333333334,0.5833333333333334,0.0
22,2023-08-01,Google,Firefox,6,0,6,15,0.4,0.4,0.0
23,2023-08-01,Google,Safari,9,0,9,13,0.6923076923076923,0.6923076923076923,0.0
24,2023-08-01,Referral,Chrome,4,0,4,8,0.5,0.5,0.0
25,2023-08-01,Referral,Edge,5,0,5,17,0.29411764705882354,0.29411764705882354,0.0
26,2023-08-01,Referral,Firefox,7,0,7,13,0.5384615384615384,0.5384615384615384,0.0
27,2023-08-01,Referral,Safari,5,0,5,13,0.38461538461538464,0.38461538461538464,0.0
28,2023-08-01,Social Media,Chrome,7,0,7,17,0.4117647058823529,0.4117647058823529,0.0
29,2023-08-01,Social Media,Edge,6,0,6,12,0.5,0.5,0.0
30,2023-08-01,Social Media,Firefox,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
31,2023-08-01,Social Media,Safari,2,0,2,5,0.4,0.4,0.0
32,2023-09-01,Direct,Chrome,4,0,4,10,0.4,0.4,0.0
