,Unnamed: 0,Date,Time,Visitor_ID,Source,Browser,Page,Action,angebot_click,vorteile_click,page_view,click,month
0,0,2024-02-01,05:41:10,1,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
1,1,2024-02-01,05:41:10,1,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
2,2,2024-02-01,10:47:41,2,Google,Safari,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
3,3,2024-02-01,13:36:44,3,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
4,4,2024-02-01,13:36:44,3,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
5,5,2024-02-01,19:34:01,4,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
6,6,2024-02-01,19:34:01,4,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
7,7,2024-02-01,07:09:59,5,Social Media,Edge,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
8,8,2024-02-01,21:41:05,6,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
9,9,2024-02-01,08:50:54,7,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
10,10,2024-02-01,08:50:54,7,Social Media,Safari,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
11,11,2024-02-01,00:38:06,8,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern,0,1,0,1,2024-02-01
12,12,2024-02-01,00:38:06,8,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
13,13,2024-02-01,12:58:32,9,Referral,Chrome,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
14,14,2024-02-02,18:39:52,10,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern,0,1,0,1,2024-02-01
15,15,2024-02-02,18:39:52,10,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
16,16,2024-02-02,15:33:06,11,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern,0,1,0,1,2024-02-01
17,17,2024-02-02,15:33:06,11,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
18,18,2024-02-02,13:53:07,12,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Vorteile sichern,0,1,0,1,2024-02-01
19,19,2024-02-02,13:53:07,12,Direct,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
20,20,2024-02-02,12:12:55,13,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
21,21,2024-02-02,12:12:55,13,Referral,Edge,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
22,22,2024-02-02,04:28:51,14,Direct,Safari,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
23,23,2024-02-02,05:28:55,15,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
24,24,2024-02-02,06:29:12,16,Google,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
25,25,2024-02-02,17:52:10,17,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
26,26,2024-02-02,17:52:10,17,Social Media,Firefox,/de-de/nutzfahrzeuge-mieten,Page View,0,0,1,0,2024-02-01
27,27,2024-02-02,21:48:14,18,Google,Safari,/de-de/nutzfahrzeuge-mieten,Click: Angebot erhalten,1,0,0,1,2024-02-01
